CODE,DESC,TU1CODE,TU1DESC,TU2CODE,TU2DESC,TU3CODE,TU3DESC,,,
040101,Caring For & Helping Nonhousehold (NonHH) Members - Caring For & Helping NonHH Children - Physical care for nonhh children,04,Caring For & Helping Nonhousehold (NonHH) Members,01,Caring For & Helping NonHH Children,01,Physical care for nonhh children,,,Caring For & Helping Nonhousehold (NonHH) Members - Caring For & Helping NonHH Children - Physical care for nonhh children
040102,Caring For & Helping Nonhousehold (NonHH) Members - Caring For & Helping NonHH Children - Reading to/with nonhh children,04,Caring For & Helping Nonhousehold (NonHH) Members,01,Caring For & Helping NonHH Children,02,Reading to/with nonhh children,,,Caring For & Helping Nonhousehold (NonHH) Members - Caring For & Helping NonHH Children - Reading to/with nonhh children
040103,"Caring For & Helping Nonhousehold (NonHH) Members - Caring For & Helping NonHH Children - Playing with nonhh children, not sports",04,Caring For & Helping Nonhousehold (NonHH) Members,01,Caring For & Helping NonHH Children,03,"Playing with nonhh children, not sports",,,"Caring For & Helping Nonhousehold (NonHH) Members - Caring For & Helping NonHH Children - Playing with nonhh children, not sports"
040104,Caring For & Helping Nonhousehold (NonHH) Members - Caring For & Helping NonHH Children - Arts and crafts with nonhh children,04,Caring For & Helping Nonhousehold (NonHH) Members,01,Caring For & Helping NonHH Children,04,Arts and crafts with nonhh children,,,Caring For & Helping Nonhousehold (NonHH) Members - Caring For & Helping NonHH Children - Arts and crafts with nonhh children
040105,Caring For & Helping Nonhousehold (NonHH) Members - Caring For & Helping NonHH Children - Playing sports with nonhh children,04,Caring For & Helping Nonhousehold (NonHH) Members,01,Caring For & Helping NonHH Children,05,Playing sports with nonhh children,,,Caring For & Helping Nonhousehold (NonHH) Members - Caring For & Helping NonHH Children - Playing sports with nonhh children
040106,Caring For & Helping Nonhousehold (NonHH) Members - Caring For & Helping NonHH Children - Talking with/listening to nonhh children,04,Caring For & Helping Nonhousehold (NonHH) Members,01,Caring For & Helping NonHH Children,06,Talking with/listening to nonhh children,,,Caring For & Helping Nonhousehold (NonHH) Members - Caring For & Helping NonHH Children - Talking with/listening to nonhh children
040108,Caring For & Helping Nonhousehold (NonHH) Members - Caring For & Helping NonHH Children - Organization & planning for nonhh children,04,Caring For & Helping Nonhousehold (NonHH) Members,01,Caring For & Helping NonHH Children,08,Organization & planning for nonhh children,,,Caring For & Helping Nonhousehold (NonHH) Members - Caring For & Helping NonHH Children - Organization & planning for nonhh children
040109,Caring For & Helping Nonhousehold (NonHH) Members - Caring For & Helping NonHH Children - Looking after nonhh children (as primary activity),04,Caring For & Helping Nonhousehold (NonHH) Members,01,Caring For & Helping NonHH Children,09,Looking after nonhh children (as primary activity),,,Caring For & Helping Nonhousehold (NonHH) Members - Caring For & Helping NonHH Children - Looking after nonhh children (as primary activity)
040110,Caring For & Helping Nonhousehold (NonHH) Members - Caring For & Helping NonHH Children - Attending nonhh children's events,04,Caring For & Helping Nonhousehold (NonHH) Members,01,Caring For & Helping NonHH Children,10,Attending nonhh children's events,,,Caring For & Helping Nonhousehold (NonHH) Members - Caring For & Helping NonHH Children - Attending nonhh children's events
040111,Caring For & Helping Nonhousehold (NonHH) Members - Caring For & Helping NonHH Children - Waiting for/with nonhh children,04,Caring For & Helping Nonhousehold (NonHH) Members,01,Caring For & Helping NonHH Children,11,Waiting for/with nonhh children,,,Caring For & Helping Nonhousehold (NonHH) Members - Caring For & Helping NonHH Children - Waiting for/with nonhh children
040112,Caring For & Helping Nonhousehold (NonHH) Members - Caring For & Helping NonHH Children - Dropping off/picking up nonhh children,04,Caring For & Helping Nonhousehold (NonHH) Members,01,Caring For & Helping NonHH Children,12,Dropping off/picking up nonhh children,,,Caring For & Helping Nonhousehold (NonHH) Members - Caring For & Helping NonHH Children - Dropping off/picking up nonhh children
040199,"Caring For & Helping Nonhousehold (NonHH) Members - Caring For & Helping NonHH Children - Caring for and helping nonhh children, n.e.c.*",04,Caring For & Helping Nonhousehold (NonHH) Members,01,Caring For & Helping NonHH Children,99,"Caring for and helping nonhh children, n.e.c.*",,,"Caring For & Helping Nonhousehold (NonHH) Members - Caring For & Helping NonHH Children - Caring for and helping nonhh children, n.e.c.*"
040201,Caring For & Helping Nonhousehold (NonHH) Members - Activities Related to Nonhh Children's Education - Homework (nonhh children),04,Caring For & Helping Nonhousehold (NonHH) Members,02,Activities Related to Nonhh Children's Education,01,Homework (nonhh children),,,Caring For & Helping Nonhousehold (NonHH) Members - Activities Related to Nonhh Children's Education - Homework (nonhh children)
040202,Caring For & Helping Nonhousehold (NonHH) Members - Activities Related to Nonhh Children's Education - Meetings and school conferences (nonhh children),04,Caring For & Helping Nonhousehold (NonHH) Members,02,Activities Related to Nonhh Children's Education,02,Meetings and school conferences (nonhh children),,,Caring For & Helping Nonhousehold (NonHH) Members - Activities Related to Nonhh Children's Education - Meetings and school conferences (nonhh children)
040203,Caring For & Helping Nonhousehold (NonHH) Members - Activities Related to Nonhh Children's Education - Home schooling of nonhh children,04,Caring For & Helping Nonhousehold (NonHH) Members,02,Activities Related to Nonhh Children's Education,03,Home schooling of nonhh children,,,Caring For & Helping Nonhousehold (NonHH) Members - Activities Related to Nonhh Children's Education - Home schooling of nonhh children
040204,Caring For & Helping Nonhousehold (NonHH) Members - Activities Related to Nonhh Children's Education - Waiting associated with nonhh children's education,04,Caring For & Helping Nonhousehold (NonHH) Members,02,Activities Related to Nonhh Children's Education,04,Waiting associated with nonhh children's education,,,Caring For & Helping Nonhousehold (NonHH) Members - Activities Related to Nonhh Children's Education - Waiting associated with nonhh children's education
